id,template,ocorrencias
1,block* namesystem.addstoredblock: blockmap updated: <ip>:<id> is added to <block> size <id>,314
2,packetresponder <num> for block <block> terminating,311
3,received block <block> of size <id> from /<ip>,292
4,receiving block <block> src: /<ip>:<id> dest: /<ip>:<id>,292
5,block* namesystem.delete: <block> is added to invalidset of <ip>:<id>,224
6,<ip>:<id> served block <block> to /<ip>,80
7,<ip>:<id>:got exception while serving <block> to /<ip>:,80
8,verification succeeded for <block>,20
9,deleting block <block> file /mnt/hadoop/dfs/data/current/<block>,15
10,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir34/<block>,11
11,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir33/<block>,8
12,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir38/<block>,8
13,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir1/<block>,7
14,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir15/<block>,7
15,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir36/<block>,7
16,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir27/<block>,6
17,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir29/<block>,6
18,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir32/<block>,6
19,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir26/<block>,6
20,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir39/<block>,6
21,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir57/<block>,6
22,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir24/<block>,6
23,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir35/<block>,6
24,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir18/<block>,5
25,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir42/<block>,5
26,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir0/<block>,5
27,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir30/<block>,5
28,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir40/<block>,5
29,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir16/<block>,5
30,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir46/<block>,5
31,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir31/<block>,5
32,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir19/<block>,5
33,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir5/<block>,4
34,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir41/<block>,4
35,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir60/<block>,4
36,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir6/<block>,4
37,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir53/<block>,4
38,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir59/<block>,4
39,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir14/<block>,4
40,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir28/<block>,4
41,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir56/<block>,4
42,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir2/<block>,4
43,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir54/<block>,4
44,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir11/<block>,3
45,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir48/<block>,3
46,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir23/<block>,3
47,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir13/<block>,3
48,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir4/<block>,3
49,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir37/<block>,3
50,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir7/<block>,3
51,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir55/<block>,3
52,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir10/<block>,3
53,block* namesystem.allocateblock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000318_0/part-<id>. <block>,2
54,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir9/<block>,2
55,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir25/<block>,2
56,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir47/<block>,2
57,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir21/<block>,2
58,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir50/<block>,2
59,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir45/<block>,2
60,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir22/<block>,2
61,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir61/<block>,2
62,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir52/<block>,2
63,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir63/<block>,2
64,block* ask <ip>:<id> to delete <block>,2
65,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir62/<block>,2
66,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir58/<block>,2
67,received block <block> src: /<ip>:<id> dest: /<ip>:<id> of size <id>,2
68,block* namesystem.allocateblock: /user/root/randtxt5/_temporary/_task_200811101024_0012_m_001709_0/part-<id>. <block>,2
69,block* ask <ip>:<id> to delete <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block> <block>,2
70,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir3/<block>,2
71,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir17/<block>,2
72,deleting block <block> file /mnt/hadoop/dfs/data/current/subdir43/<block>,2
73,block* namesystem.allocateblock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-<id>. <block>,1
74,block* namesystem.allocateblock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-<id>. <block>,1
75,block* namesystem.allocateblock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-<id>. <block>,1
76,block* namesystem.allocateblock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-<id>. <block>,1
77,block* namesystem.allocateblock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-<id>. <block>,1
78,block* namesystem.allocateblock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000296_0/part-<id>. <block>,1
79,block* namesystem.allocateblock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000230_0/part-<id>. <block>,1
80,block* namesystem.allocateblock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000169_0/part-<id>. <block>,1
81,block* namesystem.allocateblock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000138_0/part-<id>. <block>,1
82,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000382_0/part-<id>. <block>,1
83,block* namesystem.allocateblock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000392_0/part-<id>. <block>,1
