id;template;ocorrencias;categoria_real
1;block* namesystem.addstoredblock: blockmap updated: <ip>:<id> is added to <block> size <id>;314;Disk Failure
2;packetresponder <num> for block <block> terminating;311;Disk Failure
3;received block <block> of size <id> from /<ip>;292;Disk Failure
4;receiving block <block> src: /<ip>:<id> dest: /<ip>:<id>;292;Disk Failure
5;block* namesystem.delete: <block> is added to invalidset of <ip>:<id>;224;Disk Failure
6;<ip>:<id> served block <block> to /<ip>;80;Network Failure
7;<ip>:<id>:got exception while serving <block> to /<ip>:;80;Network Failure
8;verification succeeded for <block>;20;Disk Failure
9;deleting block <block> file /mnt/hadoop/dfs/data/current/<block>;15;Disk Failure
10;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir34/<block>;11;Disk Failure
11;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir33/<block>;8;Disk Failure
12;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir38/<block>;8;Disk Failure
13;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir1/<block>;7;Disk Failure
14;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir15/<block>;7;Disk Failure
15;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir36/<block>;7;Disk Failure
16;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir27/<block>;6;Disk Failure
17;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir29/<block>;6;Disk Failure
18;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir32/<block>;6;Disk Failure
19;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir26/<block>;6;Disk Failure
20;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir39/<block>;6;Disk Failure
21;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir57/<block>;6;Disk Failure
22;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir24/<block>;6;Disk Failure
23;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir35/<block>;6;Disk Failure
24;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir18/<block>;5;Disk Failure
25;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir42/<block>;5;Disk Failure
26;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir0/<block>;5;Disk Failure
27;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir30/<block>;5;Disk Failure
28;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir40/<block>;5;Disk Failure
29;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir16/<block>;5;Disk Failure
30;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir46/<block>;5;Disk Failure
31;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir31/<block>;5;Disk Failure
32;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir19/<block>;5;Disk Failure
