id;template;keywords;tfidf;llm
1;block* namesystem.addstoredblock: blockmap updated: <ip>:<id> is added to <block> size <id>;Unknown;Disk Failure;
2;packetresponder <num> for block <block> terminating;Unknown;Disk Failure;
3;received block <block> of size <id> from /<ip>;Unknown;Disk Failure;
4;receiving block <block> src: /<ip>:<id> dest: /<ip>:<id>;Unknown;Disk Failure;
5;block* namesystem.delete: <block> is added to invalidset of <ip>:<id>;Data Corruption;Disk Failure;
6;<ip>:<id> served block <block> to /<ip>;Unknown;Disk Failure;
7;<ip>:<id>:got exception while serving <block> to /<ip>:;Unknown;Data Corruption;
8;verification succeeded for <block>;Unknown;Disk Failure;
9;deleting block <block> file /mnt/hadoop/dfs/data/current/<block>;Unknown;Disk Failure;
10;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir34/<block>;Unknown;Disk Failure;
11;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir33/<block>;Unknown;Disk Failure;
12;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir38/<block>;Unknown;Disk Failure;
13;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir1/<block>;Unknown;Disk Failure;
14;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir15/<block>;Unknown;Disk Failure;
15;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir36/<block>;Unknown;Disk Failure;
16;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir27/<block>;Unknown;Disk Failure;
17;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir29/<block>;Unknown;Disk Failure;
18;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir32/<block>;Unknown;Disk Failure;
19;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir26/<block>;Unknown;Disk Failure;
20;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir39/<block>;Unknown;Disk Failure;
21;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir57/<block>;Unknown;Disk Failure;
22;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir24/<block>;Unknown;Disk Failure;
23;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir35/<block>;Unknown;Disk Failure;
24;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir18/<block>;Unknown;Disk Failure;
25;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir42/<block>;Unknown;Disk Failure;
26;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir0/<block>;Unknown;Disk Failure;
27;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir30/<block>;Unknown;Disk Failure;
28;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir40/<block>;Unknown;Disk Failure;
29;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir16/<block>;Unknown;Disk Failure;
30;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir46/<block>;Unknown;Disk Failure;
31;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir31/<block>;Unknown;Disk Failure;
32;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir19/<block>;Unknown;Disk Failure;
33;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir5/<block>;Unknown;Disk Failure;
34;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir41/<block>;Unknown;Disk Failure;
35;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir60/<block>;Unknown;Disk Failure;
36;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir6/<block>;Unknown;Disk Failure;
37;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir53/<block>;Unknown;Disk Failure;
38;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir59/<block>;Unknown;Disk Failure;
39;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir14/<block>;Unknown;Disk Failure;
40;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir28/<block>;Unknown;Disk Failure;
41;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir56/<block>;Unknown;Disk Failure;
42;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir2/<block>;Unknown;Disk Failure;
43;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir54/<block>;Unknown;Disk Failure;
44;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir11/<block>;Unknown;Disk Failure;
45;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir48/<block>;Unknown;Disk Failure;
46;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir23/<block>;Unknown;Disk Failure;
47;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir13/<block>;Unknown;Disk Failure;
48;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir4/<block>;Unknown;Disk Failure;
49;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir37/<block>;Unknown;Disk Failure;
50;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir7/<block>;Unknown;Disk Failure;
51;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir55/<block>;Unknown;Disk Failure;
52;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir10/<block>;Unknown;Disk Failure;
53;block* namesystem.allocateblock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000318_0/part-<id>. <block>;Unknown;Disk Failure;
54;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir9/<block>;Unknown;Disk Failure;
55;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir25/<block>;Unknown;Disk Failure;
56;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir47/<block>;Unknown;Disk Failure;
57;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir21/<block>;Unknown;Disk Failure;
58;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir50/<block>;Unknown;Disk Failure;
59;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir45/<block>;Unknown;Disk Failure;
60;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir22/<block>;Unknown;Disk Failure;
61;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir61/<block>;Unknown;Disk Failure;
62;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir52/<block>;Unknown;Disk Failure;
63;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir63/<block>;Unknown;Disk Failure;
64;block* ask <ip>:<id> to delete <block>;Unknown;Disk Failure;
65;deleting block <block> file /mnt/hadoop/dfs/data/current/subdir62/<block>;Unknown;Disk Failure;
